Year,Organ,Number_Of_Transplants
1994,Pancreas,95
1994,Kidney / Pancreas,748
1994,Heart,2340
1994,Lung,724
1994,Heart / Lung,71
1994,Intestine,23
1993,All Organs,17631
1993,Kidney,10360
1993,Liver,3440
1993,Pancreas,112
1993,Kidney / Pancreas,661
1993,Heart,2297
1993,Lung,667
1993,Heart / Lung,60
1993,Intestine,34
1992,All Organs,16134
1992,Kidney,9738
1992,Liver,3064
1992,Pancreas,64
1992,Kidney / Pancreas,493
1992,Heart,2170
1992,Lung,535
1992,Heart / Lung,48
1992,Intestine,22
1991,All Organs,15756
1991,Kidney,9678
1991,Liver,2953
1991,Pancreas,78
1991,Kidney / Pancreas,452
1991,Heart,2127
1991,Lung,405
1991,Heart / Lung,51
1991,Intestine,12
1990,All Organs,15001
1990,Kidney,9416
1990,Liver,2690
1990,Pancreas,69
1990,Kidney / Pancreas,459
1990,Heart,2107
1990,Lung,203
1990,Heart / Lung,52
1990,Intestine,5
1989,All Organs,13140
1989,Kidney,8656
1989,Liver,2202
1989,Pancreas,82
1989,Kidney / Pancreas,335
1989,Heart,1705
1989,Lung,93
1989,Heart / Lung,67
1989,Intestine,0
1988,All Organs,12623
1988,Kidney,8878
1988,Liver,1713
1988,Pancreas,78
1988,Kidney / Pancreas,171
1988,Heart,1676
1988,Lung,33
1988,Heart / Lung,74
1988,Intestine,0
